"hospital_id","name","population","bed","owner_id","county_id"
"10001915","ENCOMPASS HEALTH REHAB HOSPITAL OF NE AT BEVERLY","20","20","1","25009"
"100062249","ST JOSEPH'S HOSPITAL","25","25","2","17119"
"1000676","HOSPITAL SAN CARLOS BORROMEO","106","106","1","72099"
"10007701","RIVERVIEW MEDICAL CENTER","460","460","1","34025"
"10010993","HELEN HAYES HOSPITAL","130","130","4","36087"
"10014810","VA MEDICAL CENTER - BATH","440","440","6","36101"
"10018510","MOSES TAYLOR HOSPITAL","213","213","1","42069"
"1002111","TUFTS MEDICAL CENTER","415","415","2","25025"
"10023226","ENCOMPASS HEALTH REHAB HOSP OF VIRGINIA","40","40","1","51087"
"10028345","FIRSTHEALTH MOORE REGIONAL HOSPITAL HAMLET","64","64","1","37153"
"1002903","RHODE ISLAND HOSPITAL","719","719","2","44007"
"10030417","EVANS MEMORIAL HOSPITAL","49","49","3","13109"
"1003047","CROTCHED MOUNTAIN REHABILITATION CENTER","62","62","2","33011"
"10035594","NORTHWEST MEDICAL CENTER","49","49","5","1093"
"100361265","TRINITY MEDICAL CENTER - 7TH ST CAMPUS","38","38","0","17161"
"10037074","TROUSDALE MEDICAL CENTER","25","25","1","47169"
"10038921","TALLAHATCHIE GENERAL HOSPITAL","18","18","5","28135"
"1003909","YORK HOSPITAL","79","79","2","23031"
"10041042","ST ELIZABETH FLORENCE","231","231","2","21015"
"10043952","TRINITY MEDICAL CENTER EAST","82","82","2","39081"
"100460548","VALLEY WEST COMMUNITY HOSPITAL","25","25","2","17037"
"10046527","OAKLAWN PSYCHIATRIC CENTER INC","16","16","0","18039"
"10048071","DMC SURGERY HOSPITAL","11","11","2","26125"
"10054001","AMERY HOSPITAL AND CLINIC","25","25","2","55095"
"1005478","NORTHWESTERN MEDICAL CENTER","70","70","2","50011"
"10056062","MADELIA COMMUNITY HOSPITAL","25","25","1","27165"
"10060622","HUMBOLDT PARK HEALTH","210","210","2","17031"
"100614","HOSPITAL DR SUSONI INC","138","138","1","72013"
"10063353","PIKE COUNTY MEMORIAL HOSPITAL","25","25","5","29163"
"10066064","ADAIR ACUTE CARE AT OSAWATOMIE STATE HOSPITAL","182","182","4","20121"
"1006790","THE CHARLOTTE HUNGERFORD HOSPITAL","109","109","2","9005"
"10068022","NEBRASKA METHODIST HOSPITAL","137","137","2","31055"
"10071303","LONGLEAF HOSPITAL","139","139","1","22079"
"10071655","DREW MEMORIAL HOSPITAL","49","49","5","5043"
"10073086","ARBUCKLE MEMORIAL HOSPITAL AUTHORITY","25","25","5","40099"
"10078613","CEDAR PARK REGIONAL MEDICAL CENTER","126","126","1","48491"
"100801","THE ROY LESTER SCHNEIDER HOSPITAL","169","169","5","78030"
"10080534","NORTHERN COLORADO REHABILITATION HOSPITAL","40","40","1","8069"
"1008094","MARYVILLE INCORPORATED","68","68","1","34015"
"10085390","WICKENBURG COMMUNITY HOSPITAL","19","19","2","4013"
"10092262","DESERT REGIONAL MEDICAL CENTER","353","353","1","6065"
"100962263","WASHINGTON COUNTY HOSPITAL","50","50","5","17189"
"10098004","OVERLAKE MEDICAL CENTER","263","263","2","53033"
"10102118","DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER","60","60","4","25025"
"10107065","ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL AT RAHWAY","251","251","1","34039"
"10110960","MONTEFIORE NYACK","391","391","2","36087"
"10115063","PENN HIGHLANDS MON VALLEY","200","200","2","42125"
"10123229","HENRICO DOCTORS' HOSPITAL","767","767","1","51087"
"101262864","GOOD SAMARITAN REGIONAL HEALTH CENTER","134","134","0","17081"
"10128352","SCOTLAND MEMORIAL HOSPITAL","104","104","1","37165"
