county_id,county
10001,KENT
10003,"NEW CASTLE"
10005,SUSSEX
1001,AUTAUGA
1003,BALDWIN
1005,BARBOUR
1007,BIBB
1009,BLOUNT
1011,BULLOCK
1013,BUTLER
1015,CALHOUN
1017,CHAMBERS
1019,CHEROKEE
1021,CHILTON
1023,CHOCTAW
1025,CLARKE
1027,CLAY
1031,COFFEE
1033,COLBERT
1035,CONECUH
1039,COVINGTON
1041,CRENSHAW
1043,CULLMAN
1045,DALE
1047,DALLAS
1049,DEKALB
1051,ELMORE
1053,ESCAMBIA
1055,ETOWAH
1057,FAYETTE
1059,FRANKLIN
1061,GENEVA
1063,GREENE
1065,HALE
1069,HOUSTON
1071,JACKSON
1073,JEFFERSON
1077,LAUDERDALE
1079,LAWRENCE
1081,LEE
1083,LIMESTONE
1087,MACON
1089,MADISON
1091,MARENGO
1093,MARION
1095,MARSHALL
1097,MOBILE
1099,MONROE
11001,"DISTRICT OF COLUMBIA"
1101,MONTGOMERY
1103,MORGAN
1107,PICKENS
1109,PIKE
1111,RANDOLPH
1113,RUSSELL
1115,"ST. CLAIR"
1117,SHELBY
1119,SUMTER
1121,TALLADEGA
1123,TALLAPOOSA
1125,TUSCALOOSA
1127,WALKER
1129,WASHINGTON
1131,WILCOX
1133,WINSTON
12001,ALACHUA
12003,BAKER
12005,BAY
12007,BRADFORD
12009,BREVARD
12011,BROWARD
12013,CALHOUN
12015,CHARLOTTE
12017,CITRUS
12019,CLAY
12021,COLLIER
12023,COLUMBIA
12027,DESOTO
12031,DUVAL
12033,ESCAMBIA
12035,FLAGLER
12037,FRANKLIN
12039,GADSDEN
12045,GULF
12049,HARDEE
12051,HENDRY
12053,HERNANDO
12055,HIGHLANDS
12057,HILLSBOROUGH
12059,HOLMES
12061,"INDIAN RIVER"
12063,JACKSON
12069,LAKE
12071,LEE
12073,LEON
12075,LEVY
12079,MADISON
12081,MANATEE
12083,MARION
12085,MARTIN
12086,MIAMI-DADE
12087,MONROE
12089,NASSAU
12091,OKALOOSA
12093,OKEECHOBEE
12095,ORANGE
12097,OSCEOLA
12099,"PALM BEACH"
12101,PASCO
12103,PINELLAS
12105,POLK
12107,PUTNAM
12109,"ST. JOHNS"
12111,"ST. LUCIE"
12113,"SANTA ROSA"
12115,SARASOTA
12117,SEMINOLE
12119,SUMTER
12121,SUWANNEE
12123,TAYLOR
12125,UNION
12127,VOLUSIA
12131,WALTON
12133,WASHINGTON
13001,APPLING
13005,BACON
13009,BALDWIN
13013,BARROW
13015,BARTOW
13017,"BEN HILL"
13019,BERRIEN
13021,BIBB
13023,BLECKLEY
13027,BROOKS
13031,BULLOCH
13033,BURKE
13035,BUTTS
13037,CALHOUN
13039,CAMDEN
13043,CANDLER
13045,CARROLL
13047,CATOOSA
13049,CHARLTON
13051,CHATHAM
13053,CHATTAHOOCHEE
13057,CHEROKEE
13059,CLARKE
13063,CLAYTON
13065,CLINCH
13067,COBB
13069,COFFEE
13071,COLQUITT
13075,COOK
13077,COWETA
13081,CRISP
13083,DADE
13087,DECATUR
13089,DEKALB
13091,DODGE
13095,DOUGHERTY
13097,DOUGLAS
13099,EARLY
13103,EFFINGHAM
13105,ELBERT
13107,EMANUEL
13109,EVANS
13111,FANNIN
13113,FAYETTE
13115,FLOYD
13117,FORSYTH
13119,FRANKLIN
13121,FULTON
13123,GILMER
13127,GLYNN
13129,GORDON
13131,GRADY
13133,GREENE
13135,GWINNETT
13137,HABERSHAM
13139,HALL
13143,HARALSON
13147,HART
13151,HENRY
13153,HOUSTON
13155,IRWIN
13157,JACKSON
13159,JASPER
13161,"JEFF DAVIS"
13163,JEFFERSON
13165,JENKINS
13173,LANIER
13175,LAURENS
13179,LIBERTY
13185,LOWNDES
13187,LUMPKIN
13189,MCDUFFIE
13193,MACON
13199,MERIWETHER
13201,MILLER
13205,MITCHELL
13207,MONROE
13211,MORGAN
13213,MURRAY
13215,MUSCOGEE
13217,NEWTON
13223,PAULDING
13225,PEACH
13227,PICKENS
